"ParkName","UnitCode","ParkType","NPFlag","Region","States","latitude","longitude","DateCreated","Age","NPS.Fee.Acres","Private.Acres","Gross.Area.Acres","RecreationVisitsTotal2019","RecreationHoursTotal2019","AvgMonthlyVisits2019","AvgMonthlyHours2019","activities","topics","entranceFees"
"Ice Age Floods","IAFL","National Geologic Trail",0,NA,"WA,OR,ID,MT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guided Tours, Self-Guided Tours - Auto, Self-Guided Tours - Walking","Floods, Geology, Tragic Events","Ice Age Floods National Geologic Trail (0.0000)"
"Ice Age","IATR","National Scenic Trail",0,NA,"WI","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Backcountry Camping, Birdwatching, Camping, Cross-Country Skiing, Fishing, Hands-On, Hiking, Skiing, Snowshoeing, Volunteer Vacation, Wildlife Watching","Animals, Birds, Climate Change, Forests and Woodlands, Geology, Glaciers, Grasslands, Natural Sounds, Prairies, Scenic Views, Trails","Fees (0.0000)"
"Independence","INDE","National Historical Park",0,"Northeast ","PA","39.94746112","-75.14794157",1948-06-28,73,"33.27","5.16","44.87","4,532,459","6,853,306",377704.916666667,571108.833333333,"Bookstore and Park Store, Food, Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film, Self-Guided Tours - Walking, Shopping","Abolition Movement, African American Heritage, American Revolution, American Revolutionary War, Archeology, Architecture and Building, Arts, Banking, Birthplace, Burial, Cemetery and Gravesite, Civil Rights, Civil War, Enslavement, Military, Monuments and Memorials, Painting, Presidents, Religious Freedom, Social Movements, Transportation, US Navy, Voting Rights and Suffrage, Wars and Conflicts, Women's History","Admission (0.0000)"
"Indiana Dunes","INDU","National Park",1,"Midwest ","IN","41.63765525","-87.09647445",1966-11-05,54,"10,570.06","828.54","15,349.08","2,134,285","5,721,279",177857.083333333,476773.25,"Arts and Culture, Auto and ATV, Biking, Birdwatching, Boating, Bookstore and Park Store, Camping, Canoeing, Cross-Country Skiing, Cultural Demonstrations, Fishing, Food, Freshwater Swimming, Guided Tours, Hiking, Horse Trekking, Junior Ranger Program, Kayaking, Paddling, Park Film, Picnicking, Playground, RV Camping, Scenic Driving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping, Skiing, Snow Play, Snowshoeing, Stand Up Paddleboarding, Swimming, Wildlife Watching","Animals, Archeology, Architecture and Building, Arts, Birds, Dunes, Fire, Lakes, Painting, Photography, Poetry and Literature, Trails","West Beach - Standard Entrance Fee (6.0000), Dunewood Campground - Standard Camping Fee (25.0000), West Beach - Senior Pass Entrance Fee (3.0000), West Beach - Access Pass Entrance Fee (3.0000), West Beach - Bus Entrance Fee (30.0000), Dunewood Campground - Senior Pass Camping Fee (12.5000), Dunewood Campground - Access Pass Camping Fee (12.5000)"
"I&#241;upiat Heritage Center","INUP","",0,NA,"AK","71.29889155","-156.7529136",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arts and Culture, Hunting and Gathering","Native American Heritage","College students (5.0000)"
"Isle Royale","ISRO","National Park",1,"Midwest ","MI","48.01145819","-88.82780657",1931-03-03,90,"539,281.91","0","571,790.30","26,410","1,335,648",2200.83333333333,111304,"Arts and Culture, Backcountry Camping, Backcountry Hiking, Birdwatching, Boat Tour, Boat Tour, Boating, Bookstore and Park Store, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Canoeing, Dining, Fishing, Flying, Food, Freshwater Fishing, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hiking, Junior Ranger Program, Kayaking, Motorized Boating, Off-Trail Permitted Hiking, Paddling, Park Film, Sailing, SCUBA Diving, Shopping, Wildlife Watching","Animals, Arts, Astronomy, Aurora Borealis, Birds, Coasts, Islands and Atolls, Coniferous Forests, Deciduous Forests, Endangered, Fire, Fish, Forests and Woodlands, Geology, Industry, Lakes, Lighthouses, Maritime, Mining, Night Sky, Rare, Scenic Views, Schools and Education, Ships and Shipwrecks, Trails, Transportation, Unique Species, Wetlands, Wilderness, Wolves","Isle Royale Entrance Fee (7.0000)"
"James A Garfield","JAGA","National Historic Site",0,"Midwest ","OH","41.66486549","-81.35086557",1980-12-28,40,"7.82","0","7.82","41,305","82,610",3442.08333333333,6884.16666666667,"Bookstore and Park Store, Gift Shop and Souvenirs, Guided Tours, Living History, Park Film, Reenactments, Self-Guided Tours - Walking, Shopping","Civil War, Monuments and Memorials, Presidents, Schools and Education, Tragic Events, Wars and Conflicts","Entrance Fee (10.0000), Youth 15 and under (0.0000)"
"Historic Jamestowne","JAME","Part of Colonial National Historical Park",0,NA,"VA","37.20027185","-76.75469561",NA,NA,NA,NA,NA,NA,NA,NA,NA,"First Person Interpretation, Guided Tours, Living History, Self-Guided Tours - Walking","NA","For those without a National Park or Inter-agency pass the following fees will apply: (20.0000), Holders of the following passes will be admitted to Historic Jamestowne at no additional charge: (0.0000), All other National Park pass holders will be charged an additional $5.00 per adult  to cover the Preservation Virginia fee (5.0000)"
"New Orleans Jazz","JAZZ","National Historical Park",0,"Southeast ","LA","29.96303129","-90.06749669",1994-10-31,26,"0","0","5.13","41,049","82,753",3420.75,6896.08333333333,"Arts and Culture, Junior Ranger Program, Live Music","African American Heritage, Birthplace, Music, Urban America","Admission and Program Fees (0.0000)"
"Jewel Cave","JECA","National Monument",0,"Midwest ","SD","43.73102945","-103.829994",1908-02-07,113,"1,273.51","0","1,273.51","123,489","314,886",10290.75,26240.5,"Birdwatching, Bookstore and Park Store, Caving, Guided Tours, Hiking, Shopping, Wildlife Watching","Animals, Birds, Caves, Caverns and Karst, Fire, Geology, Trails",NA
"Gateway Arch","JEFF","National Park",1,"Midwest ","MO","38.6258069","-90.1892508",1935-12-21,85,"85.46","85.23","192.83","2,055,309","8,221,233",171275.75,685102.75,"Boat Tour, Bookstore and Park Store, Gift Shop and Souvenirs, Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film, Shopping","Architecture and Building, Civil Rights, Climate Change, Engineering, Monuments and Memorials, Presidents, Social Movements, Voting Rights and Suffrage","Gateway Arch Entrance Fee (3.0000)"
"Jean Lafitte","JELA","National Historical Park and Preserve",0,"Southeast ","LA","29.81739855","-90.1402241",1907-03-04,114,"21,080.30","2,441.04","25,875.86","590,329","1,250,092",49194.0833333333,104174.333333333,"Arts and Crafts, Arts and Culture, Birdwatching, Bookstore and Park Store, Craft Demonstrations, Cultural Demonstrations, First Person Interpretation, Fishing, Freshwater Fishing, Gift Shop and Souvenirs, Guided Tours, Hands-On, Historic Weapons Demonstration, Hunting, Hunting and Gathering, Junior Ranger Program, Live Music, Living History, Museum Exhibits, Park Film, Self-Guided Tours - Walking, Shopping, Wildlife Watching","African American Heritage, Alligators or Crocodiles, Animals, Architecture and Building, Artillery, Arts, Battlefields, Birds, Burial, Cemetery and Gravesite, Civil War, Climate Change, Colonization and Settlement, Deciduous Forests, Enslavement, Fish, Forests and Woodlands, Grasslands, Immigration, Indigenous and Native Warrior, Infantry and Militia, Maritime, Marshes, Migrations, Military, Monuments and Memorials, Music, Photography, Piracy and Privateering, Prairies, Presidents, Reconstruction, Scenic Views, Swamps, Trails, Urban America, US Army, US Coast Guard, US Marines, US Navy, War of 1812, Wars and Conflicts, Wetlands","Admission and Program Fees (0.0000)"
"Jimmy Carter","JICA","National Historic Site",0,"Southeast ","GA","32.03059943","-84.41606653",1987-12-23,33,"36.81","24.67","72.21","50,789","58,905",4232.41666666667,4908.75,"Bookstore and Park Store, Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film, Self-Guided Tours - Walking, Shopping","Farming and  Agriculture, Great Depression, Natural Sounds, Presidents, Schools and Education","The Jimmy Carter National Historic Site is fee free. (0.0000)"
"John Day Fossil Beds","JODA","National Monument",0,"Pacific West ","OR","44.62566508","-119.8811491",1975-10-08,45,"7,082.05","471.49","14,062.19","197,091","228,625",16424.25,19052.0833333333,"Bookstore and Park Store, Front-Country Hiking, Hiking, Junior Ranger Program, Museum Exhibits, Park Film","Fossils and Paleontology, Geology, River and Riparian, Science, Technology and Innovation, Trails, Unique Species","No entrance fees at John Day Fossil Beds National Monument (0.0000)"
"John Fitzgerald Kennedy","JOFI","National Historic Site",0,"Northeast ","MA","42.34693694","-71.12323846",1967-05-26,54,"0.09","0","0.09","24,838","12,420",2069.83333333333,1035,"Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film","Birthplace, Immigration, Monuments and Memorials, Presidents, Urban America, Women's History","None (0.0000)"
"Johnstown Flood","JOFL","National Memorial",0,"Northeast ","PA","40.34584534","-78.77448601",1964-08-31,56,"167.77","3.2","177.76","183,143","193,618",15261.9166666667,16134.8333333333,"Backcountry Hiking, Bookstore and Park Store, Bus/Shuttle Guided Tour, Food, Guided Tours, Hiking, Junior Ranger Program, Museum Exhibits, Park Film, Picnicking, Shopping","Architecture and Building, Arts, Canals, Civil War, Dams, Engineering, Floods, Headwaters, Lakes, Military, Monuments and Memorials, Painting, Photography, Tragic Events, Trails, Trains and Railroads, Transportation, Wars and Conflicts, Watersheds","Entrance Fee. (0.0000)"
"John Muir","JOMU","National Historic Site",0,"Pacific West ","CA","37.9828422","-122.1326097",1964-08-31,56,"338.3","1.94","344.14","40,725","61,087",3393.75,5090.58333333333,"Guided Tours, Hiking, Junior Ranger Program, Museum Exhibits, Park Film, Self-Guided Tours - Walking, Wildlife Watching","Architecture and Building, Explorers and Expeditions, Immigration, Natural Sounds, Scenic Views, Trails, Watersheds","John Muir National Historic Site (0.0000)"
"Joshua Tree","JOTR","National Park",1,"Pacific West ","CA","33.91418525","-115.8398125",1936-08-10,84,"782,068.85","10,514.26","795,155.85","2,988,547","17,489,850",249045.583333333,1457487.5,"Astronomy, Auto and ATV, Backcountry Camping, Backcountry Hiking, Biking, Birdwatching, Bookstore and Park Store, Camping, Car or Front Country Camping, Climbing, Food, Front-Country Hiking, Group Camping, Guided Tours, Hiking, Horse Camping (see also camping), Horse Camping (see also Horse/Stock Use), Horse Trekking, Horseback Riding, Junior Ranger Program, Picnicking, Rock Climbing, Scenic Driving, Self-Guided Tours - Auto, Shopping, Stargazing, Wildlife Watching","Animals, Archeology, Birds, Climate Change, Endangered, Fire, Geology, Homesteading, Industry, Mining, Native American Heritage, Night Sky, Tortoises and Turtles, Unique Species, Westward Expansion","Entrance Fee (30.0000), Motorcycle Entrance Fee (25.0000), Individual Entrance Fee (15.0000), Non-commercial Groups - Per Person (15.0000)"
"Journey Through Hallowed Ground","JTHG","National Heritage Area",0,NA,"MD,PA,WV,VA","38.8904075622559","-77.8056488037109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","Journey Through Hallowed Ground NHA Fees (0.0000)"
"Juan Bautista de Anza","JUBA","National Historic Trail",0,NA,"AZ,CA","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bookstore and Park Store, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Living History, Park Film, Reenactments, Shopping","Colonization and Settlement, Explorers and Expeditions, Hispanic American Heritage, Immigration, Latino American Heritage, Native American Heritage, Trails, Trains and Railroads, Transportation","Fees Vary (0.0000)"
"Kaloko-Honok&#333;hau","KAHO","National Historical Park",0,"Pacific West ","HI","19.68083237","-156.0306932",1978-11-10,42,"615.9","28.32","1,163.05","232,921","526,594",19410.0833333333,43882.8333333333,"Arts and Culture, Junior Ranger Program, Live Music","Animals, Birds","No Entrance Fees (0.0000)"
"Kalaupapa","KALA","National Historical Park",0,"Pacific West ","HI","21.1731108","-156.9511609",1980-12-22,40,"22.88","72","10,778.88","69,401","166,408",5783.41666666667,13867.3333333333,"Guided Tours, Living History, Museum Exhibits","Asian American Heritage, Pacific Islander Heritage, Science, Technology and Innovation, Tragic Events","Free Admission (0.0000)"
"Katmai","KATM","National Park & Preserve",1,"Alaska","AK","58.62235668","-155.0126574",1918-09-24,102,"3,944,937.48","21,209.72","4,093,228.13","84,167","256,745",7013.91666666667,21395.4166666667,"Backcountry Camping, Backcountry Hiking, Boating, Camping, Canoeing, Fishing, Fly Fishing, Flying, Guided Tours, Hiking, Junior Ranger Program, Kayaking, Paddling, Wildlife Watching","Animals, Archeology, Architecture and Building, Arctic, Aurora Borealis, Aviation, Birds, Coasts, Islands and Atolls, Fish, Geology, Geothermal, Headwaters, Lakes, Mountains, Night Sky, Scenic Views, Tundra, Volcanoes, Watersheds, Wilderness, Wolves","Katmai National Park and Preserve (0.0000)"
"Katahdin Woods and Waters","KAWW","National Monument",0,NA,"ME","45.9567565917969","-68.712287902832",2016-08-24,5,"87,564.27","0","87,564.27",NA,NA,NA,NA,"Birdwatching, Canoeing, Cross-Country Skiing, Fishing, Hiking, Hunting, Hunting and Gathering, Kayaking, Paddling, Skiing, Snowmobiling, Snowshoeing, Wildlife Watching","Animals, Forests and Woodlands, Glaciers, Industry, Logging and Timber Cutting, Monuments and Memorials, Mountains, Native American Heritage, Night Sky, River and Riparian, Scenic Views, Trails, Waterfalls","No Fees (0.0000)"
"Kenilworth Park & Aquatic Gardens","KEAQ","",0,NA,"DC","38.91284776","-76.94340616",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arts and Culture, Birdwatching, Bookstore and Park Store, Craft Demonstrations, Cultural Demonstrations, Food, Guided Tours, Hiking, Junior Ranger Program, Picnicking, Shopping, Wildlife Watching","Animals, Arts, Birds, Civil War, Deciduous Forests, Forests and Woodlands, Grasslands, Marshes, Meadows, Native American Heritage, Photography, River and Riparian, Schools and Education, Swamps, Tortoises and Turtles, Trails, Urban America, Wars and Conflicts, Water Trails, Watersheds, Wetlands","Entrance Fee (0.0000)"
"Kenai Fjords","KEFJ","National Park",1,"Alaska","AK","59.81804414","-150.106502",1978-12-01,42,"603,129.86","47,218.19","669,650.05","356,601","1,175,974",29716.75,97997.8333333333,"Astronomy, Backcountry Camping, Backcountry Hiking, Birdwatching, Boat Tour, Boat Tour, Boating, Bookstore and Park Store, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Car or Front Country Camping, Climbing, Cross-Country Skiing, Dog Sledding, Fishing, Fixed Wing Flying, Fly Fishing, Flying, Food, Freshwater Fishing, Front-Country Hiking, Guided Tours, Helicopter Flying, Hiking, Ice Climbing, Junior Ranger Program, Kayaking, Mountain Climbing, Paddling, Park Film, Saltwater Fishing, Shopping, Skiing, Snowmobiling, Snowshoeing, Stargazing, Wildlife Watching","Animals, Archeology, Aurora Borealis, Birds, Climate Change, Coastal Defenses, Coasts, Islands and Atolls, Coniferous Forests, Endangered, Estuaries and Mangroves, Fish, Forests and Woodlands, Geology, Glaciers, Maritime, Maritime - Military, Military, Mountains, Native American Heritage, Night Sky, Oceans, Rainforest, Rock Landscapes and Features, Scenic Views, Trails, Unique Species, US Army, Wars and Conflicts, Waterfalls, Watersheds, Whales, Wilderness, World War II","No Entrance Fee (0.0000)"
"Kennesaw Mountain","KEMO","National Battlefield Park",0,"Southeast ","GA","33.95370717","-84.59214186",1917-02-18,104,"2,889.69","1.07","2,913.69","2,621,050","4,197,602",218420.833333333,349800.166666667,"Biking, Birdwatching, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Living History, Museum Exhibits, Road Biking, Wildlife Watching","Animals, Birds, Civil War, Mountains, Wars and Conflicts","Kennesaw Mountain Entrance Fee - Per Vehicle Daily Fee (5.0000), Kennesaw Mountain Entrance Fee - Per Vehicle Annual Fee (40.0000)"
"Keweenaw","KEWE","National Historical Park",0,"Midwest ","MI","47.1792308","-88.52275344",1992-10-27,28,"135.78","1,734.22","1,870.00","20,535","37,133",1711.25,3094.41666666667,"Compass and GPS, Food, Geocaching, Guided Tours, Junior Ranger Program, Museum Exhibits, Self-Guided Tours - Auto, Self-Guided Tours - Walking","Animals, Archeology, Geology, Immigration, Industry, Mining","No Entrance Fees (0.0000)"
"Kings Mountain","KIMO","National Military Park",0,"Southeast ","SC","35.13900723","-81.38978712",1933-08-10,87,"3,945.29","0","3,945.29","262,031","226,036",21835.9166666667,18836.3333333333,"Guided Tours, Junior Ranger Program, Living History, Park Film, Self-Guided Tours - Walking","American Revolution, American Revolutionary War, Battlefields, Military, Monuments and Memorials, Wars and Conflicts","Entrance Fee (0.0000)"
"Klondike Gold Rush","KLGO","National Historical Park",0,"Alaska","AK","59.61042373","-135.2618535",1976-06-30,45,"3,420.00","377.11","12,996.49","1,116,161","4,597,749",93013.4166666667,383145.75,"Arts and Culture, Backcountry Camping, Backcountry Hiking, Birdwatching, Bookstore and Park Store, Camping, Car or Front Country Camping, Climbing, Food, Front-Country Hiking, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hiking, Junior Ranger Program, Mountain Climbing, Museum Exhibits, Park Film, Picnicking, Playground, RV Camping, Self-Guided Tours - Walking, Shopping, Wildlife Watching","African American Heritage, Animals, Archeology, Architecture and Building, Arts, Asian American Heritage, Birds, Birthplace, Burial, Cemetery and Gravesite, Civil Rights, Climate Change, Coasts, Islands and Atolls, Colonization and Settlement, Commerce, Coniferous Forests, Deciduous Forests, Engineering, Explorers and Expeditions, Foothills, Plains and Valleys, Forests and Woodlands, Geology, Glaciers, Homesteading, Immigration, Industry, Logging and Timber Cutting, Maritime, Massacres, Migrations, Military, Mining, Mountains, Native American Heritage, Natural Sounds, Oceans, Rainforest, Roads, Routes and Highways, Ruins, Scenic Views, Social Movements, The Gold Rush, Trade, Tragic Events, Trails, Trains and Railroads, Transportation, Unique Species, US Army, Voting Rights and Suffrage, Westward Expansion, Wilderness, Women's History","Entry Fee (0.0000)"
"Klondike Gold Rush - Seattle Unit","KLSE","National Historical Park",0,"Pacific West ","WA","47.5993663","-122.3319664",NA,NA,NA,NA,NA,"109,799","192,148",9149.91666666667,16012.3333333333,"Guided Tours, Living History, Museum Exhibits, Park Film, Self-Guided Tours - Walking","Banking, Engineering, Immigration, The Gold Rush, Westward Expansion","free (0.0000)"
"Knife River Indian Villages","KNRI","National Historic Site",0,"Midwest ","ND","47.3540219","-101.3860533",1974-10-26,46,"1,457.24","155.15","1,748.80","10,354","14,948",862.833333333333,1245.66666666667,"Arts and Culture, Birdwatching, Bookstore and Park Store, Citizen Science, Compass and GPS, Craft Demonstrations, Cultural Demonstrations, Fishing, Food, Freshwater Fishing, Geocaching, Guided Tours, Hands-On, Hiking, Junior Ranger Program, Live Music, Museum Exhibits, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Wildlife Watching","Archeology, Architecture and Building, Arts, Explorers and Expeditions, Grasslands, Indigenous and Native Warrior, Military, Native American Heritage, Prairies, Schools and Education, Thickets and Shrublands, Trails, Women's History","Knife River Indian Villages NHS Entrance Fee (0.0000)"
"Kobuk Valley","KOVA","National Park",1,"Alaska","AK","67.35631336","-159.2002293",1978-12-01,42,"1,714,413.42","35,331.74","1,750,716.16","15,766","58,789",1313.83333333333,4899.08333333333,"Arts and Crafts, Backcountry Camping, Backcountry Hiking, Boating, Bookstore and Park Store, Camping, Canoe or Kayak Camping, Canoeing, Fishing, Fixed Wing Flying, Flying, Freshwater Fishing, Hands-On, Hiking, Junior Ranger Program, Museum Exhibits, Paddling, Shopping, Wildlife Watching","Animals, Archeology, Arctic, Aurora Borealis, Dunes, Migrations, Night Sky, Rare, Unique Species, Watersheds, Wilderness","Free Entrance (0.0000)"
"Korean War Veterans Memorial","KOWA","",0,"National Capital ","DC","38.88784226","-77.04773857",1986-10-28,34,"1.56","0","1.56","3,841,633","1,920,815",320136.083333333,160067.916666667,"Guided Tours, Junior Ranger Program","Korean War, Wars and Conflicts","No Entrance Fee (0.0000)"
"Lava Beds","LABE","National Monument",0,"Pacific West ","CA","41.75915823","-121.5172189",1925-11-21,95,"46,692.42","0","46,692.42","109,630","409,243",9135.83333333333,34103.5833333333,"Astronomy, Auto and ATV, Backcountry Camping, Backcountry Hiking, Biking, Birdwatching, Bookstore and Park Store, Camping, Car or Front Country Camping, Caving, Compass and GPS, Cross-Country Skiing, Food, Front-Country Hiking, Geocaching, Group Camping, Guided Tours, Hiking, Museum Exhibits, Off-Trail Permitted Hiking, Park Film, Picnicking, Road Biking, RV Camping, Scenic Driving, Self-Guided Tours - Walking, Shopping, Skiing, Snowshoeing, Stargazing, Wildlife Watching","Animals, Astronomy, Battlefields, Birds, Cats (wild), Caves, Caverns and Karst, Climate Change, Coniferous Forests, Fire, Forests and Woodlands, Geology, Grasslands, Homesteading, Indian and Frontier Wars, Indigenous and Native Warrior, Migrations, Military, Monuments and Memorials, Native American Heritage, Natural Sounds, Night Sky, Rare, Scenic Views, Thickets and Shrublands, Unique Species, US Army, Volcanoes, Wars and Conflicts, Westward Expansion, Wilderness","Lava Beds Entrance Fee (25.0000)"
"Lake Clark","LACL","National Park & Preserve",1,"Alaska","AK","60.57405857","-153.55535",1978-12-01,42,"3,731,496.75","193,710.81","4,030,110.17","17,157","49,406",1429.75,4117.16666666667,"Astronomy, Backcountry Camping, Backcountry Hiking, Biking, Birdwatching, Boating, Bookstore and Park Store, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Canoeing, Climbing, Compass and GPS, Cross-Country Skiing, Fishing, Fixed Wing Flying, Flying, Hiking, Hunting, Hunting and Gathering, Junior Ranger Program, Kayaking, Motorized Boating, Mountain Climbing, Off-Trail Permitted Hiking, Orienteering, Paddling, Shopping, Skiing, Snow Play, Snowshoeing, Stand Up Paddleboarding, Stargazing, Wildlife Watching","Animals, Arctic, Arts, Aurora Borealis, Aviation, Birds, Climate Change, Coasts, Islands and Atolls, Estuaries and Mangroves, Fire, Fish, Forests and Woodlands, Fossils and Paleontology, Geology, Glaciers, Headwaters, Industry, Lakes, Marshes, Mining, Mountains, Native American Heritage, Natural Sounds, Night Sky, Photography, River and Riparian, Scenic Views, Trails, Tundra, Volcanoes, Waterfalls, Watersheds, Wetlands, Wilderness, Wolves","Lake Clark Entrance and User Fees (0.0000)"
"Lake Mead","LAKE","National Recreation Area",0,"Pacific West ","AZ,NV","35.96622528","-114.3469067",1964-10-08,56,"1,392,731.19","22,367.52","1,495,815.53","7,499,049","60,479,091",624920.75,5039924.25,"Auto and ATV, Backcountry Camping, Backcountry Hiking, Biking, Boat Tour, Boat Tour, Boating, Bookstore and Park Store, Bus/Shuttle Guided Tour, Camping, Canoeing, Car or Front Country Camping, Dining, Fishing, Flying, Food, Freshwater Fishing, Freshwater Swimming, Front-Country Hiking, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hiking, Horse Camping (see also Horse/Stock Use), Horse Trekking, Horseback Riding, Hunting, Hunting and Gathering, Jet Skiing, Junior Ranger Program, Kayaking, Motorized Boating, Paddling, Park Film, Picnicking, Road Biking, RV Camping, Sailing, Scenic Driving, SCUBA Diving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping, Snorkeling, Stand Up Paddleboarding, Swimming, Water Skiing, Wildlife Watching","Animals, Aquifers, Archeology, Aviation, Birds, Canyons and Canyonlands, Cats (wild), Dams, Endangered, Fish, Freshwater Springs, Geology, Geothermal, Groundwater, Hot Springs, Industry, Lakes, Mining, Mountains, Native American Heritage, Natural Sounds, Night Sky, Rare, River and Riparian, Roads, Routes and Highways, Rock Landscapes and Features, Ruins, Scenic Views, Schools and Education, Science, Technology and Innovation, Tortoises and Turtles, Trails, Transportation, Unique Species, Water Trails, Watersheds, Westward Expansion, Wilderness","Daily Pass - Vehicle - 1  to 7 days (25.0000), Lake Use Fee - Vessel - 1 to 7 Days (16.0000), Daily Pass - Individual - 1 to 7 Days (15.0000), Daily Pass - Motorcycle 1-7 Days (20.0000)"
"Lake Meredith","LAMR","National Recreation Area",0,"Intermountain ","TX","35.61926203","-101.6820066",1965-03-15,56,"43,964.51","0.12","44,977.63","1,328,340","3,967,646",110695,330637.166666667,"ATV Off-Roading, Auto and ATV, Biking, Boating, Bookstore and Park Store, Camping, Canoeing, Fishing, Food, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Hunting, Hunting and Gathering, Junior Ranger Program, Kayaking, Mountain Biking, Paddling, Shopping","Animals, Birds, Grasslands, Prairies","Entrance Fees (0.0000)"
"Lake Roosevelt","LARO","National Recreation Area",0,"Pacific West ","WA","48.17148735","-118.3513713",1946-12-18,74,"331.31","0","100,390.31","1,358,818","3,897,636",113234.833333333,324803,"Astronomy, Boating, Camping, Fishing, Hiking, Hunting and Gathering, Junior Ranger Program, Stargazing, Swimming","Military, Native American Heritage","Boat Launch Weekly Permit (8.0000), Boat Launch Annual Pass (45.0000), In-Season Camping Fee (18.0000), Off-Season Camping Fee (9.0000)"
"Lassen Volcanic","LAVO","National Park",1,"Pacific West ","CA","40.49354575","-121.4075993",1907-05-06,114,"106,505.38","83.64","106,589.02","517,039","5,490,609",43086.5833333333,457550.75,"Astronomy, Auto and ATV, Backcountry Camping, Backcountry Hiking, Biking, Birdwatching, Boating, Bookstore and Park Store, Camping, Canoeing, Compass and GPS, Cross-Country Skiing, Dining, Fishing, Fly Fishing, Food, Freshwater Fishing, Freshwater Swimming, Front-Country Hiking, Geocaching, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hiking, Horse Camping (see also Horse/Stock Use), Horse Trekking, Horseback Riding, Junior Ranger Program, Kayaking, Living History, Museum Exhibits, Paddling, Park Film, Picnicking, Road Biking, RV Camping, Scenic Driving, Self-Guided Tours - Auto, Shopping, Skiing, Snow Play, Snowshoeing, Stand Up Paddleboarding, Stargazing, Swimming, Wildlife Watching","Animals, Arts, Astronomy, Birds, Cats (wild), Climate Change, Colonial/European Contact Conflicts, Coniferous Forests, Explorers and Expeditions, Fire, Fish, Forests and Woodlands, Geology, Geothermal, Grasslands, Hot Springs, Lakes, Meadows, Mountains, Native American Heritage, Natural Sounds, Night Sky, Rock Landscapes and Features, Scenic Views, Trails, Volcanoes, Wars and Conflicts, Waterfalls, Watersheds, Westward Expansion, Wilderness","Winter Pass (10.0000), Vehicle Pass (30.0000), Motorcycle Pass (25.0000), Individual Entrance Pass (15.0000)"
"Lewis & Clark","LECL","National Historic Trail",0,NA,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV","41.2646141052246","-95.9245147705078",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bookstore and Park Store, Junior Ranger Program, Shopping","African American Heritage, Climate Change, Coasts, Islands and Atolls, Explorers and Expeditions, Forts, Military, Native American Heritage, Presidents, River and Riparian, Scenic Views, Trails, US Army, Volcanoes, Water Trails, Westward Expansion, Women's History","No Entrance Fee (0.0000)"
"Lewis and Clark","LEWI","National Historical Park",0,"Pacific West ","OR,WA","46.21178735","-123.9638583",1958-05-29,63,"2,745.62","407.43","3,410.15","270,993","401,182",22582.75,33431.8333333333,"Birdwatching, Bookstore and Park Store, Fishing, Food, Front-Country Hiking, Gathering and Foraging, Gift Shop and Souvenirs, Guided Tours, Hiking, Historic Weapons Demonstration, Hunting and Gathering, Junior Ranger Program, Kayaking, Living History, Museum Exhibits, Paddling, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Wildlife Watching","Animals, Birds, Elk, Enslavement, Explorers and Expeditions, Fish, Forests and Woodlands, Forts, Industry, Infantry and Militia, Logging and Timber Cutting, Marshes, Military, Rainforest, River and Riparian, Schools and Education, Trails, Water Trails, Wetlands","Lewis & Clark Entrance Fee - Per Person (10.0000)"
